"NID","neighborhood","speciesRich"
1,"NEC Speedway & Kolb",29
2,"El Rio Plaza",35
3,"Los Ranchitos",7
4,"22nd and Craycroft",33
5,"El Sahuaro",17
6,"University of Arizona",24
7,"Valencia and Old Vail",42
8,"Littletown",11
9,"Wilmot Farms",0
10,"Hermosa Hills",0
11,"Rincon Heights",0
12,"Windsor Park",18
13,"Starr Pass",58
14,"Casa Loma",5
15,"Rancho Cancion",30
16,"Pueblo Gardens",33
17,"La Paloma Academy",63
18,"Richland Heights West",2
19,"Speedway and Silverbell",45
20,"Business Park of the Desert",16
21,"Sycamore Park",12
22,"College Terrace",54
23,"Barrio Nopal",1
24,"Sunset Shadows",16
25,"Davis-Monthan",94
26,"Harrison Estates",157
27,"Highland Vista Cinco Via",26
28,"Joaquin Murrieta",190
29,"Hedrick Acres",95
30,"Parkway Terrace",62
31,"Rancho Valencia",31
32,"Thunderbird Heights/Wilmot Desert Esta",11
33,"Wilmot Vista",9
34,"Villas at Hacienda Del Sol",16
35,"Catalina Vista",101
36,"Goldschmidts",100
37,"El Gheko",9
38,"Eastlawn",23
39,"University Villa",38
40,"Duffy",144
41,"McIntyre-Richey",109
42,"Casa De Carlos",68
43,"Summer Annexation District",19
44,"Dodge Flower",23
45,"Glenn-Lowell Addition",52
46,"Dos Hombres",3
47,"North Dodge",47
48,"El Principal",36
49,"Silverbell Golf Course",31
50,"Barrio Centro",24
51,"Arroyo Chico",1
52,"Wilshire Heights",53
53,"Paseo De Las Iglesias",48
54,"Eastland Heights",33
55,"Wrightstown Square",7
56,"Miramonte at the River",40
57,"Tanque Verde Trails",162
58,"Sewell",8
59,"Irvington & I-19 Commerce",92
60,"Barrio Anita",33
61,"Miles",42
62,"Automall",52
63,"Vactor Ranch",1
64,"Valencia Crossing",15
65,"Speedtano",0
66,"The Crossing",84
67,"Century Park",96
68,"Best Mailing List",15
69,"Lincoln Green",27
70,"Seneca Terrace",32
71,"El Cortez",53
72,"Wilshire Terrace",9
73,"Airport Commerce Center",13
74,"Vista Del Rio",54
75,"Santa Cruz Southwest",106
76,"Vista Del Sahuaro",0
77,"Rincon Knolls",0
78,"St. Joseph's Hospital",13
79,"Colonia Del Valle",16
80,"Coyote Corridor East",32
81,"Desert Willow Ranch",2
82,"Valencia Reserve",0
83,"Naylor",91
84,"Aldea Linda",3
85,"Fort Lowell Estates",12
86,"Miraflores Estates",17
87,"Tierra Vista",6
88,"Catalina Vista/Blenman-Elm",10
89,"Estes Park",50
90,"Harlan Heights",30
91,"Rillito Park",81
92,"Broadway Pantano East",76
93,"Broadway East",21
94,"Agro Farms",129
95,"Paseo Estrella",0
96,"Rosemont East",89
97,"Elvira",21
98,"El Dorado Medical Offices",21
99,"Saguaro Vista Shopping Center",31
100,"Green Acres",26
101,"Keeling",3
102,"Houghton and Tanque Verde",0
103,"Aerospace Parkway",12
104,"Colonia Del Rio",103
105,"Fairgrounds",0
106,"Clarke Park",31
107,"Rieckers",8
108,"El Dorado Square",0
109,"Tanque Verde and Indian Ruins",55
110,"Roger Park",2
111,"Las Solinas",46
112,"Winterhaven Annex",12
113,"Tanque Verde Creek",62
114,"Fairview",18
115,"Pima West",47
116,"Doolen-Fruitvale",3
117,"Woodland Villas",27
118,"Sunnyside",14
119,"National City Northwest",2
120,"Barrio Santa Cruz",6
121,"Houghton South",0
122,"La Playa Caliente",23
