common.name,native.US,status.SEAZ,diet,group
Bank Swallow,Native,Migrant,Aerial arthropods,Swallow
Barn Swallow,Native,Breeding,Aerial arthropods,Swallow
Black Phoebe,Native,Year-Round,Aerial arthropods,Flycatcher
Cassin's Kingbird,Native,Breeding,Aerial arthropods,Flycatcher
Cliff Swallow,Native,Breeding,Aerial arthropods,Swallow
Common Poorwill,Native,Breeding,Aerial arthropods,GoatsuckerSwift
Cordilleran Flycatcher,Native,Migrant,Aerial arthropods,Flycatcher
Dusky-capped Flycatcher,Native,Migrant,Aerial arthropods,Flycatcher
Dusky Flycatcher,Native,Migrant,Aerial arthropods,Flycatcher
Eastern Kingbird,Native,Rarity,Aerial arthropods,Flycatcher
Gray Flycatcher,Native,Winter,Aerial arthropods,Flycatcher
Hammond's Flycatcher,Native,Migrant,Aerial arthropods,Flycatcher
Lesser Nighthawk,Native,Breeding,Aerial arthropods,GoatsuckerSwift
Northern Beardless-Tyrannulet,Native,Breeding,Aerial arthropods,Flycatcher
Northern Rough-winged Swallow,Native,Breeding,Aerial arthropods,Swallow
Olive-sided Flycatcher,Native,Migrant,Aerial arthropods,Flycatcher
Pacific-slope Flycatcher,Native,Breeding,Aerial arthropods,Flycatcher
Purple Martin,Native,Breeding,Aerial arthropods,Swallow
Say's Phoebe,Native,Year-Round,Aerial arthropods,Flycatcher
Tree Swallow,Native,Migrant,Aerial arthropods,Swallow
Tropical Kingbird,Native,Breeding,Aerial arthropods,Flycatcher
Vaux's Swift,Native,Migrant,Aerial arthropods,GoatsuckerSwift
Vermilion Flycatcher,Native,Year-Round,Aerial arthropods,Flycatcher
Violet-green Swallow,Native,Migrant,Aerial arthropods,Swallow
Western Kingbird,Native,Breeding,Aerial arthropods,Flycatcher
Western Wood-Pewee,Native,Breeding,Aerial arthropods,Flycatcher
White-throated Swift,Native,Year-Round,Aerial arthropods,GoatsuckerSwift
Willow Flycatcher,Native,Migrant,Aerial arthropods,Flycatcher
Ash-throated Flycatcher,Native,Breeding,Foliage arthropods,Flycatcher
Bell's Vireo,Native,Breeding,Foliage arthropods,ShrikeVireo
Black-headed Grosbeak,Native,Migrant,Foliage arthropods,TanagerCardinalEtAl
Black-tailed Gnatcatcher,Native,Year-Round,Foliage arthropods,Gnatcatcher
Black-throated Gray Warbler,Native,Winter,Foliage arthropods,Warbler
Blue-gray Gnatcatcher,Native,Winter,Foliage arthropods,Gnatcatcher
Bridled Titmouse,Native,Year-Round,Foliage arthropods,ChickadeeEtAl
Brown-crested Flycatcher,Native,Breeding,Foliage arthropods,Flycatcher
Bullock's Oriole,Native,Breeding,Foliage arthropods,Icterid
Bushtit,Native,Year-Round,Foliage arthropods,ChickadeeEtAl
Cassin's Vireo,Native,Migrant,Foliage arthropods,ShrikeVireo
Common Yellowthroat,Native,Year-Round,Foliage arthropods,Warbler
